id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
b602a40d876506b4,"Pls Help

         I was upload a pic - File:G M Durrani with other Singers and Actors.jpeg for G. M. Durrani wikipedia page. But I failed to attached this pic to G M Durrani page.
                                                                                                                                                                 Kchatfb",0,0,0,0,0,0
132d0e358f014e02,"French Wikipedia has an elegant solution to the ROC naming problem. Republic of China is a disambiguation page with the options of Republic of China (1912-1949), Republic of China (Taiwan), Republic of China (Nanking) and People's Republic of China. Following that logic, this page should be renamed to Republic of China (Taiwan).",0,0,0,0,0,0
9a747bf22e4103ac,"""

 Spanish mistranslation? 

In the introduction, Guzmán is referred to as a """"luchador enmascarado"""", which is then translated as """"professional wrestler"""" in English. However, """"to mask"""" in Spanish is """"enmascarar"""", and therefore """"enmascarado"""" would be more along the lines of """"masked"""". He should then be a masked wrestler rather than a professional wrestler. Should this be changed, or is this some kind of wrestling slang where someone that is masked is a professional?
  """,0,0,0,0,0,0
bd9a9ceaa12a64bd,"""

 Founder:  - sorry, not interested 
Why not Jimbo? You can't just ignore the facts forever. You can't keep prancing around taking credit for other people ideas. Most of the world already knows the truth Jimbo, we're just waiting for you to finally own up to it.rew Smith What I've done """,0,0,0,0,0,0
c79ac6865789cf00,"Observe this map closely, you will see that Bugojno is on the very border, and so obviously Donji Vakuf is not part of BH, as it is north of the border, . (  ).",0,0,0,0,0,0
576c25273256af23,"why i can't find nothing about blas de lezo too?Are you trying to avoid the truth? if yes let me know =)
you are engagin in original research",0,0,0,0,0,0
196b767d65e1c90b,"Warning 

If you continue using sockpuppets, you will be blocked.",0,0,0,0,0,0
a19e98f36490a8ed,""":You are correct, and in fact, the entire phrase shouldn't be in there - it's just puffery by one guy - a friend of his.  It's laughable.  Let's see numerous people say that he is a """"Renaissance man"""".

""",0,0,0,0,0,0
2fa05f6f1567942a,"""
 And as I replied there, there is no such concept as """"inherited statistics"""" with respect to the IOC.  Medals won by competitors from URS, TCH, FRG, GDR, YUG, etc. in past Games are still recorded as such.  Since the IOC does not publish any summary results (medal totals) that span more than a single Games, they don't have to worry about how to combine them.  The only instances where an old NOC is """"replaced"""" with a current NOC is for name changes (i.e. Ceylon to Sri Lanka, Taiwan/Republic of China to Chinese Taipei, etc.)  I don't know what you mean by """"membership rights"""", but the Russian Olympic Committee, for example, was created in 1989 and recognized in 1993, so clearly is a unique NOC from the Olympic Committee of the USSR. —  (talk · contribs) """,0,0,0,0,0,0
8aa795eb5567df90,"""

 Afro-Cuban Sahrawis 

The source cited for the claim that Afro-Cubans are descended from Sahrawi refugees is misrepresented in the article. It does not claim that the Afro-Cuban population is partially comprised of Sahrawis, or that a significant number of Sahrawis immigrated to Cuba. Indeed, the article never even mentions the term """"Afro-Cuban"""". Rather, it details someone's (dubious) claims about Sahrawi children from the Tindouf Camps being abducted to la Isla de Juventud for military training. Assuming that this is not all in his head, this explicitly means they are not Afro-Cuban according to that article; it states that Afro-Cubans are from sub-Saharan Africa. 96.26.213.146  """,0,0,0,0,0,0
844c6edd24943586,"""

 The Cramp Twins 

The Cramp Twins is an animated series created by cartoonist Brian Wood. The show was produced in association with Cartoon Network Europe. It is about Lucien Cramp (Kath Soucie) and Wayne Cramp (Tom Kenny), not-so identical twins who live with their hygiene-obsessed mother (Nicole Oliver) and their Western-obsessed father (Ian James Corlett) in the fictional town of Soap City. Wayne and Lucian's personalities clash, and they rarely get along. Wayne has a friend called Dirty Joe (Lee Tockar), who owns a dump, and neighbour Wendy Winkle (Reverend Andrew Sparks) has a crush on him, but he hates her. Wayne's and Lucien's teacher is Miss. Hillary Hissy (Demi Buchanan, who also plays Tony's mom Lily and Mrs. Winkle). Lucien's friends include environment-friendly Tony Parsons (Terry Klassen who also plays Tony's dad, Seth) and Mari and Luke Harrison (Adam Little).

Season one premiered in the UK in September 2001 on Cartoon Network (UK) and on February 2, 2002 on CBBC on BBC One respectively and has reached high popularity with children. Season one ended on 21 June 2002. A second season premiered in Autumn 2003. Season 2 finished in 2003.
Season 3 started in 2004 and ended in 2005. Season 4 began in 2006 and ended that same year.
The show is currently licensed to Cartoon Network.

The show was originally canceled in the US in February 2005, when Mew Mew Power (aka """"Tokyo Mew Mew"""") was airing in its slot February 19, 2005, and it was originally intended to be a sneak peek for the series to air September 2005 with Cramp Twins continuing to air there, but 4Kids TV decided to cancel The Cramp Twins to put Mew Mew Power in its slot. A press release went out about a possible 3-part finale answering any unanswered questions, but the show returned in the summer of 2006, and later with more new episodes.

 Main characters 
 Lucien Cramp: Lucien is the smarter of the twins, but also considered the 'eco-loser'.  Gentle and sensitive, Lucien is frequently bullied and name-called by his brother; Wayne's favourite choice of addressing Lucien is """"Girlpants"""", but he sometimes calls Lucien a """"nerd"""". Lucien enjoys science, nature and is a vegetarian. Lucian longs for a pet, but due to his mother's extreme cleaniliness rules, he is denied owning any.  Secretly, Lucien keeps a worm farm under his bed, that only Tony, Mari, Wayne and Wendy know about. It is shown in many episodes that Lucien has a fear of clowns. He has many skills, including knitting, and has shown interest in playing the harp. Lucien likes going to Soap City's only swamp (the only place he gets peace from Wayne, who is afraid of the place) where Tony lives. Lucien is technically the older twin as he was born first in the opening credits. Lucien Cramp is voiced by Kath Soucie. 
 Wayne Archibald Cramp is the blue-skinned antihero of the series. He is taller, destructive, and the less intelligent of the twins. Wayne is obsessed with junk, which he collects and hides in his room; he spends most of his time at the junkyard, owned by only friend, Dirty Joe. Unlike Lucien, who loves the swamp, Wayne is terrified of the place, and also has a fear of frogs. Wayne is constantly annoyed by Wendy Winkle who has a crush on him. Wayne's only love is anything sugary, his main source of energy, and if he is deprived from it, he becomes tired and speaks nonsense. Wayne likes to give the impression that he's the best-behaved of the twins to his mother, and sometimes Miss Hissy, but in truth, he likes to manipulate to achieve his goals.  Sometimes Lucien who gets in trouble for Wayne's behaviour, although in many episodes, somehow the tides turn and Wayne is punished by pure coincidence. Wayne is vo",0,0,0,0,0,0
75f69e0cf57e4de5,"Harmless?

The article says bellybutton lint is harmless. This seems rather subjective to me. Prove it!",0,0,0,0,0,0
e163f93b7e868570,"""
FYI, that constitutes a """"threat to out"""", which is considered a """"personal attack"""" on Wikipedia, per WP:OUTING, so I've brought it to the attention of the fine folks over at WP:ANI to deal with. 24.177.120.138  """,0,0,0,0,0,0
3237c3c0998638af,You will have to talk to the protecting Admin.  I would guess  won't unprotect it without seeing what the article looks like.  I would suggest you create a draft at Draft:Donyi Taga then ask for the article to be moved to Donyi Taga.  GB fan,0,0,0,0,0,0
7d1259bc845120a7,"Þorgerðr Hölgabrúðr and Irpa
Sorry about adding the articles to the Reference section; I didn't realize that section is only for sources that are actually cited in the article.  I've probably made the same mistake elsewhere.  I'll try to add some substantive edits that draw on those two sources.",0,0,0,0,0,0
80857fbe9a005d0f,"File:IMG 0037.JPG.JPG listed for deletion 
A file that you uploaded or altered, File:IMG 0037.JPG.JPG, has been listed at Wikipedia:Files for deletion. Please see the discussion to see why this is (you may have to search for the title of the image to find its entry), if you are interested in it not being deleted. Thank you.  –  (talk)",0,0,0,0,0,0
